Wavelength (nm),Transmittance(%),Std.Dev.
405,0.0351120294919018,0.013878992200132
406,0.0225812678146769,0.0202282349850186
407,0.0208957454434915,0.0229313642685212
408,0.0111811806245458,0.0118062406513346
409,0.0192698252882311,0.0180824695457771
410,0.0534694288460227,0.0256069468496426
411,0.0445575691453067,0.0333478548241433
412,0.0312819012277239,0.0425567446892637
413,0.0114995379128828,0.00858970708952368
414,0.03416652478403,0.0169201931697277
415,0.0270083202032487,0.0193400672452891
416,0.0358886721271363,0.0460428247879658
417,0.012737814197192,0.0119273841340649
418,0.031439741164499,0.0203137478145104
419,0.0162455837368471,0.0112280052725445
420,0.0256716268845252,0.0173265556649335
421,0.0187120731376941,0.0228560742652564
422,0.0322627456619314,0.0228695601798695
423,0.0189206085457801,0.0156256283409885
424,0.0256628905962148,0.014841115058415
425,0.059367413237816,0.0213445378929869
426,0.0332020496064102,0.0167917436696464
427,0.0266079634205273,0.0113341744625709
428,0.0872858243697316,0.0635547199593357
429,0.0301338381264369,0.0181539823991264
430,0.0320271956814395,0.0115795083016171
431,0.0610356390568791,0.027203775910593
432,0.056406658831801,0.0199642472270989
433,0.0954455925368024,0.0470474817573503
434,0.0450607670407984,0.0131752975419977
435,0.0926858333469333,0.0234996641124591
436,0.146159921292582,0.040685268765595
437,0.102312389208781,0.0378169614528097
438,0.0445263187304512,0.025020258353101
439,0.0536053323001473,0.018070239675178
440,0.0787988968839378,0.0495672349057157
441,0.0185518336239877,0.0210609165669555
442,0.0646331499688308,0.0360243918402429
443,0.0594646152972541,0.0223104824185539
444,0.0518857186427027,0.016068886627127
445,0.0729609558761122,0.0474667754637816
446,0.0364661276960195,0.0353427374393729
447,0.0362369908489019,0.0683355685425135
448,0.0211936021177826,0.0237892409625663
449,0.0366920399297412,0.0479037533349211
450,0.0239274400300464,0.0171356058047779
451,0.0835137864868946,0.0394753582119233
452,0.0728061112969834,0.0233874994392985
453,0.090603649412172,0.0577093334027479
454,0.0367791212744798,0.0473438152604588
455,0.0710701826102385,0.0443016037256709
456,0.13036927404717,0.042534140364115
457,0.0994426980319825,0.0210340769572608
458,0.136655848615108,0.0171407120087752
459,0.105297143945138,0.0169098089019014
460,0.218622320647045,0.0587845320136025
461,0.0516449043318379,0.035569061534108
462,0.0543067414206181,0.0315775654134941
463,0.0495387832453372,0.028403456302931
464,0.0545854329539285,0.0194676390072096
465,0.166133082550711,0.0402901655765141
466,0.142832055903075,0.0597505929009319
467,0.124960064365779,0.0384686127293413
468,0.145133915908251,0.0458682499077873
469,0.152883628284129,0.0367913584088531
470,0.255024204667591,0.0531813042446283
471,0.21442149048289,0.0670919423815722
472,0.20642514214076,0.0495033895242749
473,0.166761566597831,0.0334802377712097
474,0.158754844136886,0.0483927191708063
475,0.196986279602389,0.0388052872044063
476,0.130701351656391,0.0287013088623488
477,0.166118308227005,0.0379217905678076
478,0.161683376794159,0.0478553236811625
479,0.181117460223087,0.100497711192388
480,0.082483313748996,0.0225600115221097
481,0.137449467794725,0.0224895892817689
482,0.252611399967246,0.0698568809554746
483,0.168021617756894,0.0269907500568487
484,0.311321335775564,0.041181474048128
485,0.151185657647629,0.0248373604536975
486,0.0754278980351017,0.0138288185021876
487,0.0963535333731534,0.0335497937963598
488,0.0495979965685758,0.0354781968827131
489,0.21167788497485,0.0867151232658317
490,0.156201276236432,0.0393110986412227
491,0.183038817513139,0.0553087391112757
492,0.16000832188408,0.0430826680366428
493,0.156277785065517,0.0314412952611928
494,0.182623885694236,0.028031282556878
495,0.324316943821904,0.0551656557276601
496,0.198137007310284,0.03077334180173
497,0.225880373964432,0.0733762401894538
498,0.117043541469129,0.0745333034334837
499,0.138832562793988,0.0527475779978348
500,0.212689667000735,0.0722581008313523
501,0.237893376760497,0.0559521356949061
502,0.191095717126777,0.0717421064058867
503,0.165500970465956,0.0493093256143793
504,0.208341207544853,0.0509244269039979
505,0.257447900178435,0.0806878151893362
506,0.0726909318149541,0.0235697265997976
507,0.247949595038646,0.0826181613762292
508,0.233225437836043,0.0578901154758626
509,0.259887210890082,0.119786532259408
510,0.108218799402327,0.0624343757496416
511,0.129597751158059,0.0387626925287995
512,0.352971390466956,0.0731946992361564
513,0.287268307663634,0.0563298740376499
514,0.372934758032683,0.0645794362163186
515,0.427808518328256,0.0600764723277236
516,0.233294331314499,0.0493086594116717
517,0.225309934907121,0.0494197416213895
518,0.184732737176689,0.0363724310180206
519,0.22815331121675,0.0472266062654809
520,0.182587997325903,0.0475651077732218
521,0.193189519569367,0.0508964054411458
522,0.117638760993981,0.045602702062054
523,0.172815306815687,0.043492343575104
524,0.406434596887199,0.112573190381845
525,0.300082096696407,0.0843476096035283
526,0.395453125762138,0.078994599975948
527,0.323589563988365,0.0869570410474175
528,0.199868802475628,0.0674622176958796
529,0.428792293266979,0.0731864170760765
530,0.463974774654184,0.0482661162345806
531,0.415241200471377,0.0421584701575076
532,0.457697697559915,0.107062700017731
533,0.228047373141997,0.0951805095208869
534,0.240484089987898,0.0822181722640124
535,0.412978741258116,0.0878060280456805
536,0.33812296518375,0.0688405541972116
537,0.285341031778026,0.0399709791128602
538,0.325070227906052,0.0680655755072527
539,0.284328703953049,0.0471591341570645
540,0.474989383428182,0.0702433543218096
541,0.36753568390186,0.0445093936473184
542,0.396785727185188,0.0654657603228689
543,0.26504133945945,0.142716222360648
544,0.040339103489088,0.010956631655116
545,0.39055563739312,0.0469575814691807
546,0.531608185650558,0.0595926135731138
547,0.383216428038022,0.0645806478735455
548,0.211975350598974,0.0466814524087492
549,0.245339057821677,0.0581460086497827
550,0.251923107870118,0.0476549847860404
551,0.435616545118681,0.0623776364439698
552,0.41888022950719,0.0827306665588898
553,0.290026783766776,0.0601756321841604
554,0.434520731377139,0.104226530848067
555,0.17750958217888,0.0466050792888368
556,0.397510881810011,0.0531634281927561
557,0.542856377310986,0.0577213627461464
558,0.327065045678594,0.0381856106540006
559,0.41219368835344,0.0698509185351437
560,0.273245489298823,0.0687455958104449
561,0.213623238546002,0.043806093189529
562,0.380548072737395,0.0767660585194494
563,0.307686299130694,0.0853456273949964
564,0.231948587034021,0.0778231956031102
565,0.370577568571971,0.0699849877951937
566,0.211102978969948,0.055060972209811
567,0.12538776390088,0.0409273346962266
568,0.191832746521209,0.0558655206093232
569,0.138192607004382,0.0528179850207349
570,0.0947519702185987,0.0220531010893978
571,0.138167725574332,0.0391316978246038
572,0.0972708587283899,0.0198606661884017
573,0.0990244231134335,0.0120073154383009
574,0.102957983147828,0.0128364622946425
575,0.0988715656014411,0.0114548322411186
576,0.0977893581174464,0.0145788685410694
577,0.0683164963436518,0.0164901307121824
578,0.0573550449888167,0.00825556569912295
579,0.101265319932775,0.00962971324847515
580,0.0822030449929482,0.00997083376286715
581,0.0724423456489336,0.0178119009036443
582,0.0426903395315595,0.00895657982550635
583,0.0900905031219554,0.0262627285221082
584,0.0628920032896828,0.0323595657469792
585,0.0444994872874503,0.0165753532496997
586,0.102394988552127,0.0215013202126954
587,0.121037403225779,0.0226716836722177
588,0.082256132362718,0.0159676974082582
589,0.116217459495523,0.0255414549446415
590,0.145045503064313,0.0255400106365896
